Time,Pos,x,y,z
2024-04-09 11:22:08.312,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.330,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.369,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.386,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.402,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.419,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.435,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.451,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.488,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.505,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.549,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.565,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.581,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.613,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.629,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.646,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.668,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.685,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.733,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.750,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.798,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.848,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.865,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.881,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.908,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:08.925,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:08.941,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:08.958,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:08.974,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.033,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.050,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.066,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.088,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.105,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.152,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.169,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.209,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.225,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.268,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.285,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.332,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.349,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.365,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.381,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.397,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.413,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.453,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.470,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.518,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.568,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.585,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.601,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.628,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.646,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.662,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.678,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.694,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.710,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.753,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.770,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.808,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.825,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.873,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:09.889,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:09.929,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:09.945,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:09.988,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.005,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.021,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.053,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.069,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.086,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.109,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.125,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.173,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.189,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.228,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.246,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.293,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.309,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.348,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.365,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.382,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.399,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.415,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.431,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.472,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.490,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.529,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.546,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.592,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.610,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.649,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.665,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.683,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.699,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.716,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.772,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.790,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.806,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.829,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.845,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:10.892,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:10.909,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:10.948,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:10.966,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.013,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.069,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.086,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.102,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.119,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.136,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.152,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.170,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.192,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.210,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.248,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.265,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.312,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.329,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.368,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.385,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.401,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.429,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.446,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.463,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.493,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.548,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.565,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.581,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.622,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.672,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.689,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.728,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.745,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.762,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.789,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.805,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.823,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.848,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.866,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.883,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:11.912,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:11.929,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:11.968,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:11.986,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.033,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.049,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.089,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.105,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.123,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.139,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.155,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.172,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.212,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.229,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.269,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.285,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.332,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.349,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.389,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.406,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.423,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.439,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.508,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.526,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.569,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.586,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.603,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.619,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.636,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.652,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.688,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.706,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.752,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.769,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.808,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.826,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.842,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.858,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.879,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:12.929,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:12.946,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:12.963,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:12.989,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:13.006,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:13.052,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:13.069,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:13.108,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:13.125,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:13.142,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:13.158,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:13.178,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:13.229,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:13.246,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:13.288,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:22:13.305,SensorPos.L_HIP,219.44,3.38,126.44
2024-04-09 11:22:13.321,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:22:13.353,SensorPos.R_ANKLE,152.25,0.38,-1.25
2024-04-09 11:22:13.370,SensorPos.L_ANKLE,99.12,3.94,-1.56
