Time,Pos,x,y,z
2024-04-08 09:07:17.077,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.095,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.111,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.127,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.146,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.250,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.340,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.445,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.551,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.655,SensorPos.R_HIP,88.0,1.69,-142.31
2024-04-08 09:07:17.775,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:17.895,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.015,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.075,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.195,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.315,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.434,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.495,SensorPos.R_HIP,88.0,1.69,-142.38
2024-04-08 09:07:18.614,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:18.735,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:18.795,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:18.915,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.035,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.095,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.214,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.335,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.395,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.515,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.635,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.755,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.814,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:19.935,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.055,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.115,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.235,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.363,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.480,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.539,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.656,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.775,SensorPos.R_HIP,88.0,1.69,-142.44
2024-04-08 09:07:20.840,SensorPos.R_HIP,88.0,1.69,-142.44
