Time,Pos,x,y,z
2024-04-09 11:24:55.312,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.347,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.363,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.381,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.407,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.423,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.440,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.477,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.527,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.543,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.560,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.577,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.593,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.610,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.648,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.664,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.707,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.723,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.739,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.776,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.827,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.845,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.862,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:55.878,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:55.895,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:55.947,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:55.963,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.011,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.027,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.045,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.067,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.084,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.128,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.144,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.160,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.197,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.247,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.265,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.281,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.298,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.314,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.330,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.377,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.427,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.443,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.460,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.487,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.504,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.547,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.564,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.580,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.596,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.611,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.628,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.667,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.683,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.731,SensorPos.R_ANKLE,152.62,0.19,-1.25
2024-04-09 11:24:56.748,SensorPos.L_ANKLE,99.12,3.94,-1.56
2024-04-09 11:24:56.787,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.804,SensorPos.L_HIP,220.31,3.81,126.5
2024-04-09 11:24:56.847,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:24:56.864,SensorPos.R_ANKLE,152.62,0.19,-1.25
