Time,Pos,x,y,z
2024-04-09 11:31:13.365,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.382,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.405,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.422,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.438,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.468,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.525,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.541,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.557,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.598,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.645,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.662,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.679,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.695,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.711,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.727,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.768,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.786,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.825,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.841,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:13.857,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.889,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.905,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:13.944,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:13.962,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:13.978,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.018,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.066,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.082,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.098,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.125,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.142,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.158,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.188,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.244,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.262,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.279,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.308,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.325,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.364,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.382,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.399,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.425,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.441,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.457,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.488,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.544,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.561,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.577,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.609,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.625,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.664,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:31:14.681,SensorPos.R_ANKLE,153.5,-1.06,-1.31
2024-04-09 11:31:14.698,SensorPos.L_HIP,219.94,4.19,126.38
2024-04-09 11:31:14.738,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:31:14.785,SensorPos.R_HIP,0.0,0.0,0.0
