Time,Pos,x,y,z
2024-04-08 09:16:09.838,SensorPos.R_KNEE,104.06,-5.81,131.19
2024-04-08 09:16:09.854,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:09.872,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:09.889,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:09.906,SensorPos.R_KNEE,105.06,-5.44,131.38
2024-04-08 09:16:09.923,SensorPos.R_ANKLE,279.75,11.5,169.88
2024-04-08 09:16:09.939,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:09.956,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:09.972,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:09.989,SensorPos.R_ANKLE,280.38,11.5,168.38
2024-04-08 09:16:10.006,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.022,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.038,SensorPos.R_KNEE,105.25,-5.38,131.44
2024-04-08 09:16:10.054,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.071,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.088,SensorPos.R_ANKLE,281.62,12.06,168.38
2024-04-08 09:16:10.104,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.120,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.137,SensorPos.R_KNEE,105.5,-5.25,131.62
2024-04-08 09:16:10.154,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.170,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.186,SensorPos.R_KNEE,105.94,-5.06,131.62
2024-04-08 09:16:10.202,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.219,SensorPos.R_ANKLE,282.94,11.88,166.06
2024-04-08 09:16:10.235,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.252,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.268,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.284,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.300,SensorPos.R_ANKLE,283.38,11.56,161.88
2024-04-08 09:16:10.317,SensorPos.R_KNEE,106.44,-4.88,131.5
2024-04-08 09:16:10.334,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.350,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.367,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.384,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.401,SensorPos.R_ANKLE,283.56,10.88,159.62
2024-04-08 09:16:10.418,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.435,SensorPos.R_KNEE,107.25,-4.5,131.69
2024-04-08 09:16:10.452,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.469,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.485,SensorPos.R_ANKLE,282.06,11.0,156.25
2024-04-08 09:16:10.501,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.518,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.534,SensorPos.R_KNEE,107.0,-4.38,133.0
2024-04-08 09:16:10.551,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.567,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.584,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.600,SensorPos.R_ANKLE,280.12,11.75,155.12
2024-04-08 09:16:10.617,SensorPos.R_KNEE,107.5,-3.94,134.62
2024-04-08 09:16:10.633,SensorPos.L_HIP,9.06,68.69,82.12
2024-04-08 09:16:10.649,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.666,SensorPos.R_HIP,200.88,-39.88,-58.94
2024-04-08 09:16:10.683,SensorPos.L_KNEE,289.44,4.31,-175.12
2024-04-08 09:16:10.699,SensorPos.R_ANKLE,279.25,11.5,158.44
2024-04-08 09:16:10.715,SensorPos.L_ANKLE,233.38,17.94,-163.94
2024-04-08 09:16:10.731,SensorPos.R_KNEE,298.06,-3.69,136.44
2024-04-08 09:16:10.747,SensorPos.L_HIP,9.06,68.69,82.12
