Time,Pos,x,y,z
2024-04-09 11:27:36.949,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:36.967,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:36.984,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.046,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.062,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.079,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.095,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.111,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.127,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.170,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.187,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.230,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.247,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.263,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.286,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.346,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.363,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.379,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.396,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.416,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.433,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.466,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.482,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.525,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.542,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.558,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.596,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.646,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.661,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.679,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.696,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.716,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.732,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.766,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.781,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.826,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.842,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.859,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:37.890,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.946,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:37.963,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:37.979,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:37.995,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:38.075,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:38.092,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:38.125,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:38.143,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:38.159,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:38.175,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:38.191,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:38.209,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:38.247,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:38.262,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:38.280,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:38.297,SensorPos.L_ANKLE,99.12,4.31,-1.75
2024-04-09 11:27:38.365,SensorPos.R_HIP,0.0,0.0,0.0
2024-04-09 11:27:38.383,SensorPos.R_ANKLE,153.5,-1.0,-1.31
2024-04-09 11:27:38.399,SensorPos.L_HIP,219.75,4.0,126.44
2024-04-09 11:27:38.415,SensorPos.L_ANKLE,99.12,4.31,-1.75
